Winery,Wine name,Wine type,Grapes,Vintage,Region,Country,Tasting notes,Price,Tasting summary,Aromas,url
Abbazia Santa Anastasia,Litra,Red wine,100% Cabernet Sauvignon,2019,Sicilia,Italy,"Light - Bold: 76.26485%, Smooth - Tannic: 48.3312825%, Dry - Sweet: 21.56558%, Soft - Acidic: 36.67890249999999%",38.3,The taste profile of Abbazia Santa Anastasia Litra is based on 83 user reviews,"{'Oak': ['oak', 'coffee', 'cigar box', 'toffee', 'chocolate'], 'Black Fruit': ['plum', 'jam', 'black cherry', 'black fruit', 'blueberry', 'blackberry', 'blackcurrant', 'dark fruit'], 'Earth': ['leather', 'minerals', 'mushroom', 'honey'], 'Red Fruit': ['red fruit', 'cherry', 'red currant', 'sour cherry'], 'Spices': ['licorice', 'menthol', 'pepper', 'anise'], 'Dried Fruit': ['prune', 'raisin'], 'Non Oak': ['toast'], 'Tree Fruit': ['apple'], 'Floral': ['violet']}",https://www.vivino.com/FR/en/abbazia-santa-anastasia-spa-litra/w/17126?price_id=36900338&year=2019
Kornell,Staffes Cabernet,Red wine,100% Cabernet Sauvignon,2021,Südtirol - Alto Adige,Italy,"Light - Bold: 65.80817499999999%, Smooth - Tannic: 46.3501075%, Dry - Sweet: 10.985322500000002%, Soft - Acidic: 29.260484999999996%",38.5,The taste profile of Kornell Staffes Cabernet is based on 32 user reviews,"{'Black Fruit': ['black cherry', 'blueberry', 'cassis', 'dark fruit'], 'Red Fruit': ['roasted tomato', 'red fruit'], 'Oak': ['oak'], 'Spices': ['pepper'], 'Earth': ['earthy']}",https://www.vivino.com/FR/en/kornell-staffes-cabernet/w/9025836?price_id=36833169&year=2021
Serafini & Vidotto,Il Rosso dell'Abazia,Red wine,100% Cabernet Sauvignon,2019,Montello e Colli Asolani,Italy,"Light - Bold: 67.2705275%, Smooth - Tannic: 41.8399325%, Dry - Sweet: 22.359650000000006%, Soft - Acidic: 31.593809999999998%",41.7,The taste profile of Serafini & Vidotto Il Rosso dell'Abazia is based on 397 user reviews,"{'Oak': ['tobacco', 'vanilla', 'chocolate', 'oak', 'clove', 'coffee', 'cigar box', 'cigar', 'nutmeg', 'dark chocolate', 'baking spice', 'butter', 'butterscotch'], 'Black Fruit': ['cassis', 'blackcurrant', 'plum', 'blackberry', 'dark fruit', 'black fruit', 'black cherry', 'blueberry', 'black plum', 'jam', 'black raspberry', 'blackcurrant jam', 'blackberry jam'], 'Earth': ['leather', 'earthy', 'balsamic', 'cocoa', 'pencil shavings', 'smoke', 'game', 'iron', 'forest floor', 'tar', 'honey', 'dried leaves', 'minerals', 'truffle', 'mushroom'], 'Red Fruit': ['cherry', 'red fruit', 'strawberry', 'red plum', 'red cherry', 'raspberry', 'sour cherry', 'dried strawberry', 'red currant', 'cranberry'], 'Spices': ['pepper', 'eucalyptus', 'licorice', 'cinnamon', 'rosemary', 'thyme', 'fennel', 'white pepper', 'anise', 'bay leaf', 'mint'], 'Dried Fruit': ['prune', 'fig', 'raisin', 'dried blackberry'], 'Floral': ['violet', 'dried flowers', 'rose petal', 'jasmine', 'perfume'], 'Vegetal': ['grass', 'green bell pepper', 'hay', 'tomato leaf'], 'Citrus Fruit': ['citrus', 'blood orange'], 'Microbio': ['cheese', 'cream'], 'Tree Fruit': ['apricot', 'peach'], 'Non Oak': ['dried fig']}",https://www.vivino.com/FR/en/serafini-and-vidotto-il-rosso-dell-abazia/w/1409239?price_id=37554232&year=2019
Vasse Felix,Cabernet Sauvignon,Red wine,100% Cabernet Sauvignon,2020,Margaret River,Australia,"Light - Bold: 66.597335%, Smooth - Tannic: 57.15740749999999%, Dry - Sweet: 6.0156375%, Soft - Acidic: 53.828615%",42.9,The taste profile of Vasse Felix Cabernet Sauvignon is based on 1821 user reviews,"{'Black Fruit': ['blackcurrant', 'blackberry', 'cassis', 'plum', 'black fruit', 'blueberry', 'dark fruit', 'black cherry', 'mulberry', 'black plum', 'jam', 'bramble', 'black olive', 'boysenberry', 'black raspberry', 'olive tapenade', 'blackberry sauce'], 'Oak': ['oak', 'vanilla', 'cedar', 'chocolate', 'tobacco', 'dark chocolate', 'clove', 'coffee', 'mocha', 'cigar box', 'nutmeg', 'butter', 'baking spice', 'cigar', 'toffee', 'dill', 'caramel', 'milk chocolate', 'coconut', 'sweet tobacco', 'incense', 'cola', 'espresso', 'fudge'], 'Spices': ['eucalyptus', 'mint', 'pepper', 'menthol', 'bay leaf', 'licorice', 'cinnamon', 'white pepper', 'dried herbs', 'sage', 'anise', 'savory', 'vanilla bean', 'rosemary', 'green peppercorn', 'thyme', 'red licorice', 'cracked pepper', 'juniper berry', 'coriander', 'bergamot', 'fennel', 'aniseed', 'jalapeno'], 'Earth': ['earthy', 'leather', 'smoke', 'pencil shavings', 'forest floor', 'mushroom', 'graphite', 'cocoa', 'tobacco leaf', 'minerals', 'tar', 'truffle', 'stone', 'pencil lead', 'chalk', 'iron', 'salt', 'cured meat', 'balsamic', 'exotic spice', 'roasted meat', 'underbrush', 'potting soil', 'new leather', 'rubber', 'game', 'flint', 'beef broth'], 'Red Fruit': ['cherry', 'raspberry', 'red fruit', 'strawberry', 'red currant', 'red cherry', 'red plum', 'pomegranate', 'cranberry'], 'Floral': ['violet', 'lavender', 'perfume', 'geranium', 'dried rose', 'lilac', 'potpourri', 'rose petal', 'hibiscus', 'jasmine'], 'Vegetal': ['grass', 'bell pepper', 'green bell pepper', 'tomato leaf', 'rhubarb', 'red bell pepper', 'celery', 'gooseberry'], 'Non Oak': ['toast', 'almond', 'brioche', 'walnut', 'nutty', 'hazelnut'], 'Microbio': ['cheese', 'cream', 'oil', 'banana', 'yeast'], 'Dried Fruit': ['prune', 'dried cranberry', 'raisin', 'dried fruit', 'quince paste', 'fig'], 'Citrus Fruit': ['orange', 'orange peel', 'lemon', 'citrus'], 'Tree Fruit': ['stone fruit', 'pear', 'apple']}",https://www.vivino.com/FR/en/vasse-felix-cabernet-sauvignon/w/13828?price_id=35074372&year=2020
RedHeads,Whip-Hand Cabernet Sauvignon,Red wine,100% Cabernet Sauvignon,2018,Barossa Valley,Australia,"Light - Bold: 71.44885000000001%, Smooth - Tannic: 54.8246%, Dry - Sweet: 11.9541425%, Soft - Acidic: 52.249575%",42.95,The taste profile of RedHeads Whip-Hand Cabernet Sauvignon is based on 261 user reviews,"{'Oak': ['oak', 'vanilla', 'chocolate', 'cedar', 'tobacco', 'dark chocolate', 'coffee', 'cigar', 'clove', 'caramel', 'incense', 'coconut', 'butter', 'dill', 'cigar box', 'nutmeg'], 'Black Fruit': ['blackberry', 'blackcurrant', 'black fruit', 'plum', 'cassis', 'black cherry', 'blueberry', 'dark fruit', 'jam', 'mulberry', 'black plum', 'bramble', 'black olive'], 'Spices': ['eucalyptus', 'licorice', 'cinnamon', 'mint', 'pepper', 'bay leaf', 'menthol', 'aniseed', 'coriander'], 'Earth': ['smoke', 'leather', 'earthy', 'graphite', 'iron', 'balsamic', 'charcoal', 'forest floor', 'salt'], 'Red Fruit': ['cherry', 'red fruit', 'raspberry', 'sour cherry', 'dried strawberry', 'ripe strawberry', 'red plum'], 'Microbio': ['cheese', 'cream', 'oil'], 'Non Oak': ['toast', 'dried fig'], 'Citrus Fruit': ['orange'], 'Vegetal': ['green bell pepper', 'tomato'], 'Dried Fruit': ['fig'], 'Floral': ['violet']}",https://www.vivino.com/FR/en/redheads-whip-hand-cabernet-sauvignon/w/738436?price_id=35060368&year=2018
Antinori,Tenuta Guado al Tasso Il Bruciato Bolgheri,Red wine,100% Cabernet Sauvignon,2021,Bolgheri,Italy,"Light - Bold: 66.6830825%, Smooth - Tannic: 62.69847%, Dry - Sweet: 9.6422925%, Soft - Acidic: 52.666865%",37.75,The taste profile of Antinori Tenuta Guado al Tasso Il Bruciato Bolgheri is based on 10297 user reviews,"{'Oak': ['oak', 'vanilla', 'chocolate', 'tobacco', 'coffee', 'cedar', 'dark chocolate', 'clove', 'mocha', 'baking spice', 'caramel', 'espresso', 'butter', 'cigar', 'coconut', 'cigar box', 'nutmeg', 'sweet tobacco', 'toffee', 'milk chocolate', 'cola', 'sandalwood', 'incense', 'pipe tobacco', 'pastry', 'allspice', 'brown butter', 'butterscotch', 'cocoa nib', 'toasted marshmallow'], 'Black Fruit': ['blackberry', 'plum', 'black cherry', 'dark fruit', 'black fruit', 'blackcurrant', 'blueberry', 'cassis', 'jam', 'black plum', 'bramble', 'boysenberry', 'mulberry', 'black raspberry', 'blackberry jam', 'black olive', 'ripe blackberry', 'berry jam', 'olive tapenade', 'bilberry', 'kalamata olive', 'hoisin', 'grape jam', 'spiced plum', 'roasted plum', 'blackcurrant jam'], 'Earth': ['leather', 'earthy', 'smoke', 'mushroom', 'minerals', 'cocoa', 'graphite', 'tar', 'balsamic', 'truffle', 'forest floor', 'charcoal', 'honey', 'game', 'ash', 'stone', 'iron', 'salt', 'slate', 'underbrush', 'pencil shavings', 'chalk', 'tobacco leaf', 'new leather', 'pencil lead', 'grilled meat', 'wax', 'tree bark', 'ginger', 'dried leaves', 'plastic', 'exotic spice', 'cured meat', 'smoked meats', 'flint', 'potting soil'], 'Red Fruit': ['cherry', 'red fruit', 'raspberry', 'strawberry', 'red cherry', 'cranberry', 'red currant', 'sour cherry', 'pomegranate', 'red plum', 'bing cherry', 'ripe strawberry', 'wild strawberry', 'cherry cola', 'morello cherry', 'roasted tomato', 'maraschino cherry', 'cotton candy', 'fresh strawberry', 'raspberry sauce'], 'Spices': ['pepper', 'licorice', 'mint', 'cinnamon', 'white pepper', 'menthol', 'anise', 'savory', 'eucalyptus', 'rosemary', 'thyme', 'dried herbs', 'black licorice', 'bay leaf', 'sage', 'star anise', 'fennel', 'vanilla bean', 'tarragon', 'juniper', 'red licorice', 'green herbs', '5-spice powder', 'oregano', 'fennel seed', 'aleppo pepper', 'coriander', 'aniseed', 'juniper berry', 'bergamot', 'cracked pepper'], 'Dried Fruit': ['prune', 'raisin', 'fig', 'dried fruit', 'dried blackberry', 'dried cranberry', 'dried blueberry', 'dried apricot', 'black raisin'], 'Microbio': ['cheese', 'cream', 'oil', 'yeast', 'banana', 'bread yeast', 'campfire', 'parmesan cheese'], 'Floral': ['violet', 'perfume', 'lavender', 'hibiscus', 'rose petal', 'dried flowers', 'lilac', 'potpourri', 'rose hip'], 'Non Oak': ['toast', 'almond', 'hazelnut', 'nutty', 'chestnut', 'dried fig', 'peanut', 'toasted almond', 'maple syrup', 'marzipan', 'pecan', 'molasses', 'brioche', 'black walnut', 'roasted almond', 'biscuit', 'brown sugar'], 'Vegetal': ['tomato', 'grass', 'bell pepper', 'asparagus', 'green bell pepper', 'tomato leaf', 'hay', 'rhubarb', 'fresh-cut grass', 'gooseberry', 'chard', ""cat's pee"", 'celery'], 'Citrus Fruit': ['citrus', 'lemon', 'orange', 'marmalade', 'orange zest', 'blood orange', 'lime', 'orange rind'], 'Tree Fruit': ['apple', 'stone fruit', 'peach', 'apricot', 'nectarine', 'persimmon'], 'Tropical Fruit': ['tropical', 'papaya', 'pineapple', 'guava']}",https://www.vivino.com/FR/en/antinori-tuscany-tenuta-guado-al-tasso-il-bruciato-bolgheri/w/1659?price_id=35061741&year=2021
Kornell,Staffes Cabernet,Red wine,100% Cabernet Sauvignon,2020,Südtirol - Alto Adige,Italy,"Light - Bold: 65.80817499999999%, Smooth - Tannic: 46.3501075%, Dry - Sweet: 10.985322500000002%, Soft - Acidic: 29.260484999999996%",38.5,The taste profile of Kornell Staffes Cabernet is based on 32 user reviews,"{'Black Fruit': ['black cherry', 'blueberry', 'cassis', 'dark fruit'], 'Red Fruit': ['roasted tomato', 'red fruit'], 'Oak': ['oak'], 'Spices': ['pepper'], 'Earth': ['earthy']}",https://www.vivino.com/FR/en/kornell-staffes-cabernet/w/9025836?price_id=32248470&year=2020
Dry Creek Vineyard,Cabernet Sauvignon,Red wine,100% Cabernet Sauvignon,2016,Dry Creek Valley,United States,"Light - Bold: 85%, Smooth - Tannic: 55.35955250000001%, Dry - Sweet: 4.224432499999999%, Soft - Acidic: 45.21194%",44.07,The taste profile of Dry Creek Vineyard Cabernet Sauvignon is based on 1963 user reviews,"{'Oak': ['oak', 'vanilla', 'chocolate', 'tobacco', 'cedar', 'dark chocolate', 'coffee', 'baking spice', 'nutmeg', 'espresso', 'cola', 'mocha', 'butter', 'cigar', 'clove', 'milk chocolate', 'baking chocolate', 'coconut', 'sweet tobacco', 'caramel', 'butterscotch', 'wood smoke', 'pipe tobacco', 'pie crust', 'cigar box', 'allspice', 'dill'], 'Black Fruit': ['blackberry', 'plum', 'dark fruit', 'black cherry', 'blackcurrant', 'black fruit', 'blueberry', 'cassis', 'boysenberry', 'jam', 'black plum', 'black olive', 'blackberry jam', 'bramble', 'ripe blackberry', 'black raspberry'], 'Red Fruit': ['cherry', 'cranberry', 'raspberry', 'red fruit', 'strawberry', 'red cherry', 'red currant', 'bing cherry', 'pomegranate'], 'Earth': ['leather', 'earthy', 'smoke', 'cocoa', 'mushroom', 'minerals', 'stone', 'graphite', 'honey', 'salt', 'ash', 'balsamic', 'black truffle', 'slate', 'tar', 'grilled meat', 'chalk', 'roasted meat', 'ginger', 'forest floor', 'game', 'petroleum', 'truffle', 'dried leaves', 'tree bark', 'iron', 'new leather', 'pencil lead'], 'Spices': ['pepper', 'licorice', 'cinnamon', 'thyme', 'white pepper', 'mint', 'savory', 'sage', 'anise', 'black licorice', 'dried herbs', 'menthol', 'vanilla bean', 'eucalyptus', 'tarragon', 'bay leaf', 'juniper', 'jalapeno', 'rosemary'], 'Microbio': ['cheese', 'cream'], 'Dried Fruit': ['fig', 'prune', 'raisin', 'dried fruit', 'dried cranberry', 'dried blueberry'], 'Vegetal': ['bell pepper', 'green bell pepper', 'chard', 'tomato leaf', 'tomato', 'arugula', 'asparagus'], 'Floral': ['violet', 'lilac', 'lavender', 'dried flowers'], 'Non Oak': ['toast', 'nutty', 'graham cracker', 'toasted almond', 'almond'], 'Citrus Fruit': ['citrus', 'orange peel', 'orange', 'grapefruit'], 'Tree Fruit': ['stone fruit', 'peach', 'apple']}",https://www.vivino.com/FR/en/dry-creek-vineyard-cabernet-sauvignon/w/75896?price_id=34850258&year=2016
Uberti,Rosso dei Frati Priori,Red wine,100% Cabernet Sauvignon,2019,Lombardia,Italy,"Light - Bold: 69.93635%, Smooth - Tannic: 40.8182375%, Dry - Sweet: 11.4300475%, Soft - Acidic: 26.983940000000004%",39.27,The taste profile of Uberti Rosso dei Frati Priori is based on 31 user reviews,"{'Black Fruit': ['blackcurrant', 'plum', 'black cherry', 'blackberry', 'black plum', 'cassis'], 'Oak': ['dark chocolate', 'chocolate', 'cedar', 'oak', 'tobacco'], 'Dried Fruit': ['prune'], 'Microbio': ['cheese'], 'Red Fruit': ['raspberry'], 'Earth': ['leather'], 'Spices': ['mint']}",https://www.vivino.com/FR/en/uberti-rosso-dei-frati-priori/w/1483090?price_id=34299256&year=2019
Baettig,Los Compadres Cabernet Sauvignon,Red wine,100% Cabernet Sauvignon,2022,Maule Valley,Chile,"Light - Bold: 74.7870375%, Smooth - Tannic: 55.63333%, Dry - Sweet: 11.981480000000001%, Soft - Acidic: 46.7370375%",40,The taste profile of Baettig Los Compadres Cabernet Sauvignon is based on 14 user reviews,"{'Black Fruit': ['spiced plum', 'black fruit', 'dark fruit', 'kalamata olive'], 'Oak': ['vanilla', 'oak', 'sweet tobacco'], 'Red Fruit': ['red fruit'], 'Spices': ['oregano'], 'Floral': ['lavender'], 'Earth': ['leather']}",https://www.vivino.com/FR/en/baettig-los-compadres-cabernet-sauvignon/w/10796457?price_id=35720667&year=2022
Postmark,Cabernet Sauvignon,Red wine,100% Cabernet Sauvignon,2019,Paso Robles,United States,"Light - Bold: 82.241325%, Smooth - Tannic: 51.039437500000005%, Dry - Sweet: 8.430929999999998%, Soft - Acidic: 48.4581925%",38.86,The taste profile of Postmark Cabernet Sauvignon is based on 1916 user reviews,"{'Oak': ['oak', 'vanilla', 'chocolate', 'tobacco', 'cedar', 'dark chocolate', 'coffee', 'butter', 'baking spice', 'caramel', 'nutmeg', 'hickory', 'cigar', 'cola', 'mocha', 'dill'], 'Black Fruit': ['blackberry', 'plum', 'dark fruit', 'blueberry', 'black fruit', 'black cherry', 'cassis', 'blackcurrant', 'jam', 'blackberry jam', 'black plum', 'boysenberry', 'berry jam', 'berry sauce', 'ripe blackberry', 'grape jam', 'bramble'], 'Earth': ['leather', 'earthy', 'smoke', 'cocoa', 'minerals', 'iron', 'ash', 'tar', 'game', 'stone', 'dried leaves', 'chalk', 'rubber', 'balsamic', 'truffle', 'salt', 'honey', 'pencil shavings', 'ginger', 'forest floor'], 'Red Fruit': ['cherry', 'raspberry', 'red fruit', 'strawberry', 'cranberry', 'sour cherry', 'red cherry', 'red plum', 'wild strawberry', 'cherry cola', 'ripe strawberry', 'pomegranate'], 'Spices': ['pepper', 'cinnamon', 'licorice', 'eucalyptus', 'mint', 'anise', 'white pepper', 'red licorice', 'green peppercorn', 'rosemary', 'vanilla bean', 'savory', 'menthol', 'bay leaf', 'coriander', 'sage', 'black licorice'], 'Dried Fruit': ['raisin', 'prune', 'fig', 'black raisin'], 'Non Oak': ['almond', 'brown sugar', 'toast', 'maple syrup', 'graham cracker', 'walnut'], 'Microbio': ['cheese', 'cream', 'yeast', 'oil', 'yogurt'], 'Vegetal': ['bell pepper', 'grass', 'hay', 'asparagus', 'green bell pepper', 'rhubarb'], 'Floral': ['lavender', 'violet', 'rose petal', 'acacia'], 'Citrus Fruit': ['grapefruit', 'citrus', 'orange'], 'Tree Fruit': ['apple', 'stone fruit', 'melon'], 'Tropical Fruit': ['mango', 'bubblegum']}",https://www.vivino.com/FR/en/postmark-cabernet-sauvignon/w/7980485?price_id=35689174&year=2019
Pravis,Fratagranda,Red wine,100% Cabernet Sauvignon,2016,Trentino,Italy,"Light - Bold: 68.2406125%, Smooth - Tannic: 38.8136675%, Dry - Sweet: 18.163365000000006%, Soft - Acidic: 24.68267%",38.05,The taste profile of Pravis Fratagranda is based on 42 user reviews,"{'Oak': ['cedar', 'coffee', 'oak', 'dark chocolate', 'vanilla', 'chocolate', 'tobacco'], 'Black Fruit': ['dark fruit', 'black fruit', 'blackberry', 'blackcurrant', 'blueberry', 'bramble', 'plum', 'black cherry'], 'Earth': ['leather', 'earthy', 'minerals'], 'Red Fruit': ['raspberry', 'red fruit', 'red cherry'], 'Spices': ['dried herbs', 'licorice', 'pepper'], 'Dried Fruit': ['prune'], 'Vegetal': ['rhubarb']}",https://www.vivino.com/FR/en/pravis-fratagranda/w/1124336?price_id=34914585&year=2016
Langmeil,Jackaman's Cabernet Sauvignon,Red wine,100% Cabernet Sauvignon,2018,Barossa,Australia,"Light - Bold: 67.25993749999999%, Smooth - Tannic: 54.862825%, Dry - Sweet: 8.780814999999997%, Soft - Acidic: 51.533632499999996%",37.95,The taste profile of Langmeil Jackaman's Cabernet Sauvignon is based on 233 user reviews,"{'Black Fruit': ['blackberry', 'blackcurrant', 'cassis', 'blueberry', 'plum', 'black fruit', 'dark fruit', 'black cherry', 'jam', 'black olive', 'bramble', 'mulberry', 'boysenberry'], 'Oak': ['oak', 'vanilla', 'tobacco', 'chocolate', 'clove', 'cedar', 'sweet tobacco', 'caramel', 'cigar box', 'coffee', 'cigar', 'dark chocolate', 'mocha', 'allspice'], 'Spices': ['mint', 'eucalyptus', 'menthol', 'pepper', 'licorice', 'sage', 'green peppercorn', 'bay leaf', 'cinnamon', 'savory'], 'Earth': ['smoke', 'leather', 'mushroom', 'earthy', 'graphite', 'ground coffee', 'salt', 'chalk', 'cocoa'], 'Red Fruit': ['cherry', 'raspberry', 'morello cherry', 'red fruit', 'red plum'], 'Microbio': ['cream', 'cheese', 'sweaty'], 'Vegetal': ['rhubarb', 'green bell pepper'], 'Non Oak': ['toast', 'marzipan'], 'Citrus Fruit': ['orange peel', 'orange zest'], 'Tropical Fruit': ['passion fruit']}",https://www.vivino.com/FR/en/au-langmeil-winery-jackaman-s-cabernet-sauvignon/w/92197?price_id=35868489&year=2018
J. Lohr Vineyards & Wines,Estates Seven Oaks Cabernet Sauvignon,Red wine,100% Cabernet Sauvignon,2021,Paso Robles,United States,"Light - Bold: 85%, Smooth - Tannic: 50.18610749999999%, Dry - Sweet: 8.383370000000003%, Soft - Acidic: 42.515955%",38.81,The taste profile of J. Lohr Vineyards & Wines Estates Seven Oaks Cabernet Sauvignon is based on 16317 user reviews,"{'Oak': ['oak', 'vanilla', 'chocolate', 'tobacco', 'butter', 'dark chocolate', 'cedar', 'coffee', 'caramel', 'baking spice', 'mocha', 'clove', 'cola', 'nutmeg', 'cigar', 'coconut', 'pastry', 'milk chocolate', 'allspice', 'toffee', 'dill', 'butterscotch', 'sweet tobacco', 'pipe tobacco', 'cigar box', 'espresso', 'creme brulee', 'hickory', 'buttered popcorn', 'sandalwood', 'wood smoke', 'baking chocolate', 'brown butter', 'incense'], 'Black Fruit': ['blackberry', 'plum', 'black cherry', 'dark fruit', 'blackcurrant', 'blueberry', 'black fruit', 'cassis', 'jam', 'black plum', 'blackberry jam', 'ripe blackberry', 'boysenberry', 'spiced plum', 'bramble', 'black raspberry', 'berry jam', 'mulberry', 'sour plum', 'roasted plum', 'grape jam'], 'Red Fruit': ['cherry', 'red fruit', 'raspberry', 'strawberry', 'cranberry', 'red cherry', 'pomegranate', 'red currant', 'sour cherry', 'red plum', 'cherry cola', 'cotton candy', 'fresh strawberry', 'ripe strawberry', 'maraschino cherry', 'bing cherry', 'roasted tomato', 'wild strawberry', 'fruit roll-up'], 'Earth': ['leather', 'earthy', 'smoke', 'cocoa', 'mushroom', 'stone', 'minerals', 'game', 'graphite', 'charcoal', 'forest floor', 'honey', 'slate', 'salt', 'tar', 'iron', 'balsamic', 'truffle', 'tobacco leaf', 'ash', 'chalk', 'grilled meat', 'pencil shavings', 'wet gravel', 'plastic', 'wet slate', 'black truffle', 'pastrami', 'chutney', 'ginger', 'cured meat', 'flint', 'pencil lead', 'crushed gravel', 'tree bark'], 'Spices': ['pepper', 'licorice', 'cinnamon', 'anise', 'eucalyptus', 'mint', 'savory', 'white pepper', 'black licorice', 'thyme', 'sage', 'vanilla bean', 'jalapeno', 'red licorice', 'menthol', 'dried herbs', 'fennel', 'rosemary', 'juniper', 'star anise', 'juniper berry', 'cracked pepper', 'oregano', 'bay leaf', 'mace', 'aniseed', 'green herbs', 'coriander', 'bergamot'], 'Microbio': ['cheese', 'cream', 'banana', 'oil', 'yeast', 'campfire', 'cheesy', 'fresh bread', 'sourdough', 'yogurt', 'parmesan cheese'], 'Non Oak': ['toast', 'hazelnut', 'nutty', 'almond', 'brown sugar', 'molasses', 'walnut', 'biscuit', 'pecan', 'black walnut', 'dried fig', 'chestnut', 'maple syrup', 'graham cracker', 'teriyaki', 'toasted almond', 'roasted almond', 'burnt sugar', 'brioche', 'roasted hazelnut', 'peanut', 'burnt caramel', 'marzipan', 'hazelnut cream'], 'Dried Fruit': ['raisin', 'prune', 'fig', 'dried fruit', 'dried cranberry', 'black raisin'], 'Vegetal': ['tomato', 'bell pepper', 'asparagus', 'rhubarb', 'straw', 'green bell pepper', 'grass', 'earl grey tea', 'arugula', 'tomato leaf', 'wheat grass', 'fresh-cut grass', 'celery', 'roasted pepper'], 'Tree Fruit': ['stone fruit', 'apricot', 'apple', 'peach', 'pear', 'green apple', 'baked apple', 'melon', 'yellow peach', 'quince', 'cantaloupe'], 'Citrus Fruit': ['citrus', 'lemon', 'orange', 'marmalade', 'grapefruit', 'lemon zest', 'lime', 'orange peel', 'tangerine', 'blood orange', 'key lime', 'orange rind', 'orange zest'], 'Floral': ['violet', 'perfume', 'lilac', 'lavender', 'honeysuckle', 'elderflower', 'geranium', 'dried rose', 'hibiscus', 'jasmine', 'acacia'], 'Tropical Fruit': ['tropical', 'pineapple', 'mango', 'tamarind', 'guava']}",https://www.vivino.com/FR/en/j-lohr-vineyards-wines-estates-seven-oaks-cabernet-sauvignon/w/4343?price_id=35896930&year=2021
Saxenburg,Private Collection Cabernet Sauvignon,Red wine,100% Cabernet Sauvignon,2020,Stellenbosch,South Africa,"Light - Bold: 75.323775%, Smooth - Tannic: 61.369555000000005%, Dry - Sweet: 8.439205000000001%, Soft - Acidic: 57.910315%",34.41,The taste profile of Saxenburg Private Collection Cabernet Sauvignon is based on 558 user reviews,"{'Oak': ['oak', 'tobacco', 'cigar box', 'cedar', 'vanilla', 'coffee', 'chocolate', 'mocha', 'cigar', 'dark chocolate', 'nutmeg', 'baking spice', 'milk chocolate', 'butter', 'sweet tobacco'], 'Black Fruit': ['cassis', 'blackberry', 'blackcurrant', 'plum', 'dark fruit', 'black fruit', 'mulberry', 'black cherry', 'blueberry', 'ripe blackberry', 'jam', 'bramble'], 'Earth': ['leather', 'earthy', 'pencil shavings', 'smoke', 'tobacco leaf', 'minerals', 'mushroom', 'graphite', 'cocoa', 'tar', 'ash', 'beef broth', 'wet gravel', 'salt', 'chalk dust', 'gun smoke', 'black truffle', 'rubber', 'forest floor', 'charcoal', 'crushed rocks'], 'Red Fruit': ['cherry', 'red fruit', 'raspberry', 'cranberry', 'strawberry', 'red currant', 'cherry cough syrup', 'red huckleberry', 'sour cherry'], 'Spices': ['pepper', 'mint', 'eucalyptus', 'licorice', 'savory', 'jalapeno', 'rosemary', 'musk', 'white pepper', 'fennel', 'anise', 'coriander', 'cinnamon', '5-spice powder', 'sage'], 'Microbio': ['cream', 'cheese', 'oil', 'sweaty', 'sourdough yeast', 'campfire', 'bread yeast'], 'Vegetal': ['tomato', 'hay', 'gooseberry', 'grass'], 'Dried Fruit': ['prune', 'fig', 'raisin'], 'Non Oak': ['molasses', 'maple syrup', 'teriyaki'], 'Floral': ['rose water', 'dried rose'], 'Citrus Fruit': ['preserved lemon'], 'Tree Fruit': ['pear'], 'Tropical Fruit': ['tamarind']}",https://www.vivino.com/FR/en/saxenburg-private-collection-cabernet-sauvignon/w/15588?price_id=35007664&year=2020
